review_id,cafe_id,review_text,review_rating,review_date,language
RV000001,CF0001,Didn't expect the place would be very spacious! It's the eatery you would like to invite your whole family to have a lunch or dinner with the most fair price. I am astonished how this Kecombrang Fried Rice (the second picture) is so well cooked with such a big portion! It is worth the price and would recommend More,5,2026-05-16,id
RV000002,CF0001,Didn't expect the place would be very spacious! It's the eatery you would like to invite your whole family to have a lunch or dinner with the most fair price. I am astonished how this Kecombrang Fried Rice (the second picture) is so well cooked with such a big portion! It is worth the price and would recommend More,5,2026-05-16,id
RV000003,CF0001,"located in the cafe industry street near Jalan Kaliurang, the cafe looks amazing with completely outdoor and indoor facilities. here you can buy coffee, non coffee based drinks, or meals overcoming your hunger 😆. Always full of people when i come.. … More",5,2026-05-16,id
RV000004,CF0001,"located in the cafe industry street near Jalan Kaliurang, the cafe looks amazing with completely outdoor and indoor facilities. here you can buy coffee, non coffee based drinks, or meals overcoming your hunger 😆. Always full of people when i come.. … More",5,2026-05-16,id
RV000005,CF0001,"Located on the side of Yogyakarta, the scenery of the Padi field in the corner of the coffee shop is very refreshing. … More",4,2026-05-16,id
RV000006,CF0001,"Located on the side of Yogyakarta, the scenery of the Padi field in the corner of the coffee shop is very refreshing. … More",4,2026-05-16,id
RV000007,CF0001,"I really love this place. Came when there's live music here. The ambience is really good to work, read, and meet up with friends and family 😉 Nice place.
Kopinya enak, I personally will recommend Copy Paste for you. … More",5,2026-05-16,id
RV000008,CF0001,"I really love this place. Came when there's live music here. The ambience is really good to work, read, and meet up with friends and family 😉 Nice place.
Kopinya enak, I personally will recommend Copy Paste for you. … More",5,2026-05-16,id
RV000009,CF0001,"This place is a hidden gem in the city, offering a delightful dining experience with a nice ambiance, good vibes, and delicious food and beverages. The cozy and stylish interior and exterior, combined with comfortable seating, creates a … More",5,2026-05-16,id
RV000010,CF0001,"This place is a hidden gem in the city, offering a delightful dining experience with a nice ambiance, good vibes, and delicious food and beverages. The cozy and stylish interior and exterior, combined with comfortable seating, creates a … More",5,2026-05-16,id
